,Participant_ID_new,TalkTime_Prediction,Actual_Talk_Value,Absolute_Difference,Conditions
2,8364,56.0,0.0,56.0,1
3,7063,45.0,0.0,45.0,1
4,6013,50.0,47.48,2.52,2
5,1980,40.0,52.52,12.52,2
6,9079,35.0,0.0,35.0,1
7,6071,30.0,32.41,2.41,1
8,2689,15.0,23.6,8.6,1
9,1349,70.0,65.52,4.48,1
10,9581,51.0,34.48,16.52,1
11,1670,50.0,33.12,16.88,2
12,5384,29.0,25.8,3.2,2
13,2991,25.0,41.08,16.08,2
14,8224,55.0,44.88,10.12,2
15,6391,56.0,58.32,2.32,1
16,8786,60.0,41.68,18.32,1
17,6391,51.0,58.32,7.32,1
18,8680,34.0,44.64,10.64,1
19,5829,50.0,34.27,15.73,2
20,7061,45.0,62.92,17.92,2
21,9574,50.0,37.08,12.92,2
22,4621,38.0,36.0,2.0,1
23,3486,50.0,35.18,14.82,2
24,7408,62.0,64.82,2.82,2
25,2944,30.0,19.36,10.64,1
26,4349,63.0,65.73,2.73,2
27,8224,50.0,44.88,5.12,2
28,7687,50.0,0.0,50.0,2
29,9952,40.0,38.18,1.82,2
30,1630,30.0,30.56,0.56,2
31,3255,34.0,31.26,2.74,2
32,6288,50.0,59.25,9.25,1
33,2764,55.0,40.75,14.25,1
34,1742,59.0,74.88,15.88,2
35,4793,40.0,25.12,14.88,2
36,6914,70.0,56.98,13.02,1
37,6989,19.0,8.18,10.82,1
38,4171,22.0,34.84,12.84,1
39,2196,70.0,64.41,5.59,2
40,7942,50.0,35.59,14.41,2
41,8973,0.0,59.01,59.01,2
42,9128,60.0,40.99,19.01,2
43,9483,25.0,13.7,11.3,2
44,4359,40.0,61.23,21.23,2
45,9049,35.0,25.07,9.93,2
46,3954,40.0,22.8,17.2,2
47,9521,40.0,16.49,23.51,2
48,2688,30.0,60.71,30.71,2
49,8701,40.0,49.62,9.62,1
50,9525,52.0,50.38,1.62,1
51,8585,70.0,86.03,16.03,1
52,6902,26.0,13.97,12.03,1
53,9852,39.0,38.26,0.74,2
54,6098,45.0,39.77,5.23,2
55,6632,15.0,21.97,6.97,2
56,5935,60.0,56.31,3.69,1
57,3681,20.0,4.26,15.74,1
58,4138,45.0,39.43,5.57,1
59,3093,55.0,52.03,2.97,2
60,1256,29.0,19.16,9.84,2
61,1879,44.0,28.81,15.19,2
62,6025,29.0,22.85,6.15,1
63,7736,50.0,37.32,12.68,1
64,6308,37.0,0.0,37.0, 
65,7683,26.0,13.83,12.17,1
66,3505,35.0,35.49,0.49,1
67,2399,45.0,50.69,5.69,1
68,7968,25.0,17.68,7.32,1
69,7110,25.0,40.05,15.05,1
70,1213,35.0,42.28,7.28,1
71,9342,50.0,52.23,2.23,1
72,6220,0.0,47.77,47.77,1
73,6843,25.0,40.93,15.93,1
74,7938,60.0,59.07,0.93,1
75,9004,30.0,15.66,14.34,2
76,2439,37.0,44.83,7.83,2
77,7293,56.0,39.51,16.49,2
